leaves,trees,state,learn_rate,accuracy_train,accuracy_test
6.0,150.0,3.0,0.6,0.8813112872971428,0.5908229383668266
4.0,500.0,3.0,0.6,0.8839702659089831,0.5811813480698689
4.0,700.0,2.0,0.05,0.872439004450095,0.5806752802303172
10.0,900.0,3.0,0.6,0.8841038962132031,0.5784047151127627
6.0,1000.0,3.0,0.6,0.8841076450546449,0.5779760220058855
10.0,200.0,2.0,0.05,0.8310263024808165,0.5744011890737831
4.0,300.0,2.0,0.03,0.8231538992640364,0.5628189289345806
15.0,60.0,2.0,0.4,0.8620229930846661,0.5594997452520961
8.0,60.0,2.0,0.4,0.8620229930846661,0.5594997452520961
15.0,1000.0,3.0,0.03,0.8704736702400817,0.5582386276689364
15.0,900.0,3.0,0.2,0.8836287480433862,0.5575623634413528
4.0,900.0,3.0,0.2,0.8836287480433862,0.5575623634413528
8.0,700.0,3.0,0.2,0.8831148487837905,0.5569332745799558
8.0,800.0,1.0,0.09,0.8806693930211037,0.5564079757417772
10.0,60.0,2.0,0.3,0.855838233261381,0.554978094729832
6.0,500.0,1.0,0.07,0.8725442595251752,0.5535951609778564
6.0,250.0,2.0,0.07,0.8564618455847428,0.5528227478149859
8.0,800.0,1.0,0.07,0.8786312457793872,0.5495318120696668
8.0,400.0,2.0,0.07,0.8679804413715813,0.5490199145541997
8.0,350.0,2.0,0.11,0.8737083502721281,0.5485187975034598
6.0,80.0,2.0,0.11,0.8187099552780522,0.5479609721517439
8.0,350.0,3.0,0.03,0.8345543005293514,0.5451732175394326
15.0,800.0,2.0,0.07,0.8785037665770553,0.5438818290758931
15.0,60.0,3.0,0.09,0.7745018802528513,0.5423549359475437
6.0,350.0,3.0,0.13,0.8770188622323434,0.5420681996004615
6.0,200.0,1.0,0.3,0.8783012070245101,0.5413258119900224
4.0,600.0,3.0,0.05,0.8699667827454128,0.5404092714360555
15.0,350.0,3.0,0.05,0.8574654166813125,0.5398337350957527
15.0,350.0,3.0,0.05,0.8574654166813125,0.5398337350957527
8.0,800.0,2.0,0.09,0.8800777031850865,0.5349962922743947
15.0,700.0,2.0,0.09,0.8791224685460555,0.5344368289987939
8.0,80.0,1.0,0.3,0.8631884078631686,0.5326627433210096
8.0,600.0,2.0,0.09,0.8777871523375083,0.5322092821120448
15.0,150.0,3.0,0.03,0.7608277712834712,0.5304834056808756
8.0,150.0,2.0,0.15,0.865371363657668,0.5289683706522244
15.0,60.0,2.0,0.11,0.7846715359804705,0.5276281680279505
15.0,300.0,1.0,0.03,0.8216495029528794,0.527323904608132
15.0,200.0,3.0,0.15,0.868707177871429,0.526615382179332
10.0,700.0,1.0,0.03,0.8621474571956705,0.5263932902398581
6.0,900.0,1.0,0.03,0.8679391293290899,0.526354674001667
10.0,250.0,1.0,0.15,0.8731233923784723,0.5261995745618584
4.0,40.0,2.0,0.15,0.7843705638985723,0.5255511725800956
4.0,40.0,2.0,0.15,0.7843705638985723,0.5255511725800956
15.0,40.0,2.0,0.15,0.7843705638985723,0.5255511725800956
10.0,100.0,1.0,0.11,0.8360816100334367,0.524669689930787
8.0,600.0,2.0,0.01,0.7825842743764347,0.521834222720881
6.0,400.0,3.0,0.15,0.878946323314054,0.5196306773429265
10.0,60.0,2.0,0.09,0.7721217769953511,0.5184072114212467
8.0,500.0,3.0,0.15,0.8805052705451004,0.518091175396935
15.0,350.0,1.0,0.05,0.856772502041217,0.517785190934517
8.0,900.0,1.0,0.05,0.8764698796886699,0.5171001765864602
15.0,400.0,2.0,0.01,0.7451479326197721,0.5136461884845661
4.0,400.0,2.0,0.01,0.7451479326197721,0.5136461884845661
15.0,400.0,3.0,0.01,0.7438577881232749,0.5131060577227526
10.0,600.0,1.0,0.11,0.8793155188306586,0.5104748519493846
15.0,40.0,1.0,0.4,0.8530756573395323,0.5093332946083275
4.0,350.0,3.0,0.11,0.8744314058562148,0.5026483090155895
4.0,900.0,1.0,0.13,0.8825077701751227,0.4991467600080757
10.0,1000.0,3.0,0.11,0.8825709312475135,0.4987804601518253
4.0,500.0,1.0,0.7,0.8839883589001196,0.4897874215357437
10.0,250.0,1.0,0.7,0.8833686942027151,0.4893133538657529
8.0,900.0,1.0,0.7,0.884105484204926,0.4855444571851676
6.0,150.0,1.0,0.2,0.8682297921839812,0.47301233751651883
6.0,100.0,3.0,0.3,0.8690519634895234,0.47263965470216174
8.0,80.0,2.0,0.2,0.85491453192072,0.4716498636623324
4.0,100.0,1.0,0.2,0.8609843712515034,0.4691952127973149
8.0,100.0,2.0,0.8,0.8804470382839192,0.4690756445522032
15.0,100.0,2.0,0.5,0.8768555315234845,0.46887490628524864
10.0,400.0,2.0,0.2,0.8809996189763251,0.467029516317525
10.0,300.0,2.0,0.2,0.8789851569039473,0.4656981817164838
15.0,60.0,1.0,0.2,0.8418895740329811,0.4629456502353181
6.0,150.0,2.0,0.2,0.8702542142714917,0.46171942116996534
10.0,500.0,3.0,0.3,0.8832232355730862,0.459252961791492
8.0,60.0,2.0,0.5,0.8685874558261351,0.45096897370707945
4.0,800.0,1.0,0.6,0.8840870503464213,0.4483420991039577
6.0,20.0,3.0,0.7,0.8278020271832126,0.448304224069605
15.0,900.0,1.0,0.6,0.8840979401982657,0.4479953691871399
6.0,60.0,3.0,0.4,0.8634288492381178,0.41774937090531483
6.0,40.0,2.0,0.7,0.8649673003159306,0.4174134767354205
15.0,100.0,1.0,0.5,0.8762182870772195,0.4127756348672509
8.0,80.0,1.0,0.5,0.8742943558633659,0.4115416902860579
8.0,20.0,3.0,0.07,0.594011474428794,0.40584460573508785
15.0,80.0,3.0,0.4,0.8697623492771133,0.4002789456238883
15.0,900.0,3.0,0.4,0.884039600124508,0.3998118908880979
4.0,250.0,1.0,0.5,0.8827307022492553,0.39168572902818977
8.0,600.0,2.0,0.6,0.884005934341866,0.39142728498953017
4.0,20.0,3.0,0.5,0.8134797174775374,0.3880092658912768
15.0,350.0,1.0,0.5,0.8835270829651765,0.3880022478410332
6.0,20.0,2.0,0.05,0.5199926162910999,0.37818783545686885
15.0,400.0,2.0,0.7,0.8838676474908835,0.3715215331221302
4.0,1000.0,2.0,0.7,0.8841073122608895,0.3660108376494666
8.0,40.0,3.0,0.8,0.8678433118819269,0.35111650486241874
10.0,60.0,3.0,0.8,0.8750394346266979,0.3275396818090677
4.0,60.0,3.0,0.8,0.8750394346266979,0.3275396818090677
15.0,80.0,2.0,0.01,0.460342047672635,0.317684201116206
4.0,1000.0,1.0,0.8,0.8841099833451767,0.27919780346102707
10.0,20.0,1.0,0.8,0.8504458103524856,0.2709183004114396
15.0,60.0,1.0,0.01,0.3946921931965969,0.2563090585954241
15.0,20.0,2.0,0.01,0.17248368019811833,0.0886512291944892
10.0,20.0,2.0,0.01,0.17248368019811833,0.0886512291944892
